,Model,Accuracy,Precision_w,Recall_w,F1-Score_w,Precision_m,Recall_m,F1-Score_m,Cohen's Kappa,Matthews Corr. Coef.,Log Loss,Balanced Accuracy
0,FinalDataNewModelPickleFile_a\F_Model_0_Kernel_rbf_C_0.01_gamma_0.01_decision_ovo_degree_1.pkl,0.4299990831576052,0.8066727176645565,0.4299990831576052,0.4480880164459609,0.794085010004262,0.4403154923107834,0.447148938982853,0.2964305307558893,0.3965755372342519,NA,0.4403154923107834
1,FinalDataNewModelPickleFile_a\F_Model_10_Kernel_poly_C_0.01_gamma_10_decision_ovo_degree_1.pkl,0.41129549830384154,0.7358872024912559,0.41129549830384154,0.4296599117069759,0.7217529125981385,0.41904204839407677,0.42808136892656173,0.2719666177762571,0.3188048125146882,NA,0.41904204839407677
2,FinalDataNewModelPickleFile_a\F_Model_11_Kernel_sigmoid_C_0.01_gamma_10_decision_ovo_degree_1.pkl,0.17351242321444943,0.40634961997249136,0.17351242321444943,0.17253841248369545,0.39835320230265225,0.17743025303721777,0.17305090433717218,-0.024754138297273576,-0.027527188338112022,NA,0.17743025303721777
3,FinalDataNewModelPickleFile_a\F_Model_12_Kernel_rbf_C_0.01_gamma_100_decision_ovo_degree_1.pkl,0.9764371504538369,0.9770341856368236,0.9764371504538369,0.9765025147607207,0.9762682887726726,0.9767974811757231,0.9762872120278615,0.9705409230638429,0.9706570040964142,NA,0.9767974811757231
4,FinalDataNewModelPickleFile_a\F_Model_13_Kernel_poly_C_0.01_gamma_100_decision_ovo_degree_1.pkl,0.41129549830384154,0.7358872024912559,0.41129549830384154,0.4296599117069759,0.7217529125981385,0.41904204839407677,0.42808136892656173,0.2719666177762571,0.3188048125146882,NA,0.41904204839407677
5,FinalDataNewModelPickleFile_a\F_Model_14_Kernel_sigmoid_C_0.01_gamma_100_decision_ovo_degree_1.pkl,0.1969377464013936,0.29254687814583896,0.1969377464013936,0.18358013355521202,0.2888657968200277,0.20046671343944408,0.18429554698559897,0.0033332128548594353,0.0036959727719202383,NA,0.20046671343944408
6,FinalDataNewModelPickleFile_a\F_Model_15_Kernel_rbf_C_0.01_gamma_1000_decision_ovo_degree_1.pkl,0.8815439625928303,0.9156064020144559,0.8815439625928303,0.8852119223870633,0.9179840374646682,0.8773232637046409,0.884228745759146,0.85157351380503,0.8599207868673634,NA,0.8773232637046409
7,FinalDataNewModelPickleFile_a\F_Model_16_Kernel_poly_C_0.01_gamma_1000_decision_ovo_degree_1.pkl,0.41129549830384154,0.7358456088735181,0.41129549830384154,0.4296431716137928,0.7217112866332676,0.41904204839407677,0.4280652616703297,0.27196480896361996,0.31876775326153745,NA,0.41904204839407677
8,FinalDataNewModelPickleFile_a\F_Model_17_Kernel_sigmoid_C_0.01_gamma_1000_decision_ovo_degree_1.pkl,0.20408911708077382,0.35679978100193527,0.20408911708077382,0.20401117572445107,0.35088639381845277,0.20730366427023364,0.20387759375124892,0.01246542801359729,0.013748291018512633,NA,0.20730366427023364
9,FinalDataNewModelPickleFile_a\F_Model_18_Kernel_rbf_C_0.01_gamma_scale_decision_ovo_degree_1.pkl,0.6994132208673329,0.850742439363594,0.6994132208673329,0.714507083839995,0.8425491051625631,0.7059772586424432,0.7126951445793039,0.6266856956540179,0.6711807412895147,NA,0.7059772586424432
10,FinalDataNewModelPickleFile_a\F_Model_19_Kernel_poly_C_0.01_gamma_scale_decision_ovo_degree_1.pkl,0.41129549830384154,0.7358767950527995,0.41129549830384154,0.42965572329964197,0.721742496827822,0.41904204839407677,0.42807733861122454,0.2719661655739404,0.3187955432369803,NA,0.41904204839407677
11,FinalDataNewModelPickleFile_a\F_Model_1_Kernel_poly_C_0.01_gamma_0.01_decision_ovo_degree_1.pkl,0.41129549830384154,0.7358663936390735,0.41129549830384154,0.42965153714865145,0.7217320872456592,0.41904204839407677,0.42807331063039455,0.2719657133710619,0.318786276935989,NA,0.41904204839407677
12,FinalDataNewModelPickleFile_a\F_Model_20_Kernel_sigmoid_C_0.01_gamma_scale_decision_ovo_degree_1.pkl,0.22861465114146878,0.3254287647676043,0.22861465114146878,0.23357190989954013,0.32159173211764147,0.23155466651624296,0.2337760041672309,0.0408349260028088,0.04399866385622023,NA,0.23155466651624296
13,FinalDataNewModelPickleFile_a\F_Model_21_Kernel_rbf_C_0.01_gamma_0.01_decision_ovo_degree_2.pkl,0.4299990831576052,0.8066727176645565,0.4299990831576052,0.4480880164459609,0.794085010004262,0.4403154923107834,0.447148938982853,0.2964305307558893,0.3965755372342519,NA,0.4403154923107834
14,FinalDataNewModelPickleFile_a\F_Model_22_Kernel_poly_C_0.01_gamma_0.01_decision_ovo_degree_2.pkl,0.37975611992298525,0.6663571658197818,0.37975611992298525,0.3594379023162088,0.6479941566468141,0.37820406956133346,0.35218711979573525,0.22686495430685727,0.3581082076210512,NA,0.37820406956133346
15,FinalDataNewModelPickleFile_a\F_Model_23_Kernel_sigmoid_C_0.01_gamma_0.01_decision_ovo_degree_2.pkl,0.4111579719446227,0.7356497473204683,0.4111579719446227,0.4295255802071765,0.7215113517463586,0.41889046313654443,0.42794400806786603,0.27178704442507406,0.3184115285981704,NA,0.41889046313654443
